"support_wind_turbines","proximity_to_proposed","env_concern","trust_in_government","left_right_ideology","age","income","educ"
1,1,2,0,1,59,50238,1
1,1,3,0,0,81,25014,2
1,0,3,0,1,25,91938,2
0,1,2,1,1,33,12050,1
1,0,1,1,0,50,68501,1
1,0,3,0,0,44,65366,3
0,1,1,1,1,80,53931,1
0,0,1,0,1,40,11995,2
1,0,2,1,0,18,82422,3
1,1,3,1,1,43,49981,2
1,0,1,0,1,23,61388,2
1,1,2,0,1,28,91955,2
1,1,2,1,1,42,72821,3
0,0,2,0,0,83,22527,2
1,0,1,1,1,45,50655,3
1,1,2,1,0,83,68434,1
0,1,2,1,1,40,33837,2
1,0,2,0,0,28,96092,2
0,0,3,0,1,39,65098,1
1,0,1,0,1,48,99384,1
1,1,2,0,0,26,62097,2
1,0,3,1,1,50,83175,2
1,1,1,1,1,50,76862,2
1,1,3,1,0,57,20673,1
1,0,1,0,0,29,45788,2
1,0,3,0,0,71,19529,2
1,0,3,1,1,48,35988,1
1,1,2,0,1,44,43633,1
1,0,3,0,1,64,32035,2
1,1,3,0,1,24,45931,2
0,1,1,1,1,28,29209,3
1,1,3,1,0,73,91229,1
1,0,3,0,0,21,88479,1
1,0,2,0,0,56,51183,1
0,0,1,1,1,77,39283,2
0,1,1,0,0,51,29781,2
1,0,2,1,1,62,79342,2
1,0,1,1,0,47,73898,1
1,1,1,1,1,84,95762,1
0,0,2,0,1,44,22873,2
1,0,3,1,0,83,36395,1
1,0,1,0,1,22,47866,1
1,0,2,1,0,79,57662,3
1,1,2,1,1,40,92219,1
1,0,3,0,1,20,18577,2
1,1,1,0,1,43,79762,1
0,1,2,1,1,77,53641,2
1,0,1,1,0,65,15576,1
1,1,3,0,0,36,32348,2
1,0,2,1,0,43,99668,1
1,0,3,1,1,31,74980,3
1,0,1,1,0,73,23044,2
0,0,2,1,1,52,29713,1
0,1,1,0,0,41,94991,1
1,0,3,1,0,30,59891,2
1,1,1,1,1,56,90106,3
0,0,1,1,0,61,12839,1
1,0,1,0,1,21,73857,2
0,0,1,0,1,61,60574,2
1,0,3,1,0,41,29870,1
1,0,2,0,0,38,64609,1
1,1,1,1,0,75,78556,1
0,1,2,0,0,44,11583,1
1,0,3,1,0,41,40266,2
1,1,2,1,0,25,23679,2
0,0,1,0,0,79,52590,1
1,0,2,0,1,61,72258,3
0,1,3,0,0,78,31570,3
1,0,1,0,0,24,70155,3
1,0,2,0,0,64,76329,3
1,0,3,1,1,74,49490,1
1,0,1,0,1,19,74385,3
1,0,3,0,0,25,59363,1
1,0,3,1,0,58,46627,2
1,0,2,0,0,63,91193,1
1,1,1,0,0,48,45835,2
1,0,1,1,0,55,72071,2
1,0,1,0,0,28,76209,3
0,0,1,1,0,25,14231,2
1,0,3,0,1,46,77357,3
1,0,3,0,0,33,97079,3
1,0,2,1,1,65,77628,2
1,0,2,0,1,66,97064,3
1,0,2,0,0,19,42891,2
1,1,1,1,1,32,70562,3
1,0,2,0,1,60,33983,2
1,0,2,1,0,44,35220,1
1,0,2,1,0,72,45283,2
1,0,1,0,0,84,85127,3
1,0,1,0,1,43,95040,3
1,0,2,1,1,63,63632,2
1,0,2,0,1,22,85888,2
1,0,1,1,1,27,32655,2
1,1,3,1,1,45,42355,1
1,1,3,1,1,80,77222,1
0,1,3,0,1,32,26212,1
0,0,3,0,1,74,49818,2
1,0,1,0,1,44,91839,2
1,1,3,1,0,43,49688,2
1,0,2,0,0,43,53283,2
1,0,1,0,0,32,73033,2
1,0,2,0,1,60,20231,3
0,0,1,0,1,25,63728,2
0,0,1,1,0,60,15251,3
1,1,2,0,0,70,61109,3
1,1,3,0,0,56,77011,3
0,1,3,0,0,37,32259,1
0,1,1,1,1,67,21594,1
1,0,3,1,1,27,67041,3
0,0,1,0,1,65,24405,1
1,0,3,0,1,47,75171,1
1,1,1,0,0,49,95737,2
1,1,3,0,0,24,35473,2
0,0,2,1,1,85,16701,1
1,0,3,0,1,76,86089,2
1,0,3,0,1,58,38476,2
1,0,2,0,0,50,39900,3
1,0,3,1,1,65,91835,2
1,0,2,1,0,50,19304,2
0,1,1,1,1,83,67667,3
1,0,2,1,1,27,45763,1
1,0,1,0,0,36,87836,1
1,0,3,0,1,18,78053,2
1,0,2,1,1,49,54397,1
1,1,3,0,1,80,97081,2
0,0,1,1,1,76,12310,3
1,1,1,0,0,30,89633,3
1,1,3,0,1,24,54741,3
1,0,2,0,1,55,57142,2
1,1,1,1,0,25,95012,1
1,1,2,0,1,67,31132,2
0,0,1,0,1,70,28936,1
1,0,3,0,0,47,53773,2
1,1,3,1,1,70,21982,2
1,1,2,0,1,23,72783,2
1,0,3,0,1,82,86953,2
1,1,3,1,0,62,63599,3
1,0,1,1,0,21,95566,1
1,1,3,0,0,82,61669,1
0,0,1,1,0,31,48114,1
0,0,1,0,0,18,10112,2
1,0,1,0,0,35,74286,1
1,0,3,0,1,36,98310,1
1,1,3,1,1,78,55277,3
0,1,1,0,0,30,21794,2
0,1,3,0,0,75,48747,1
0,0,1,1,1,32,28748,1
1,1,1,1,0,82,96146,1
1,0,2,1,0,33,85104,1
1,0,3,0,0,43,16461,2
1,1,2,1,0,79,91588,1
